DateTime,Pressure,Speed#1(0.2m),Dir#1(0.2m),Speed#2(0.3m),Dir#2(0.3m),Speed#3(0.4m),Dir#3(0.4m),Speed#4(0.5m),Dir#4(0.5m),Speed#5(0.6m),Dir#5(0.6m),SSC_25cm,SSC_50cm
2014/9/25 9:42,0.698,0.187,242.34,0.286,260.34,0.164,307.57,0.048,343.07,0.168,251.24,0.26,0.12
2014/9/25 9:44,0.75,0.124,284.93,0.169,278.51,0.052,32.47,0.142,210.55,0.101,277.97,0.22,0.11
2014/9/25 9:46,0.798,0.068,227.39,0.113,189.13,0.131,335.19,0.218,308.5,0.084,303.88,0.26,0.12
2014/9/25 9:48,0.838,0.255,300.19,0.215,255.7,0.102,200.75,0.14,252.99,0.04,259.82,0.26,0.12
2014/9/25 9:50,0.879,0.255,289.22,0.098,208.66,0.177,209.02,0.244,294.46,0.368,301.23,0.3,0.17
2014/9/25 9:52,0.937,0.212,282.53,0.168,302.08,0.101,271.7,0.3,234.08,0.301,259.1,0.3,0.18
2014/9/25 9:54,0.99,0.11,306.14,0.125,265.43,0.094,211.49,0.067,198.17,0.035,244.89,0.38,0.19
2014/9/25 9:56,1.043,0.173,324.39,0.146,262.15,0.074,247.62,0.116,229.56,0.114,233.23,0.38,0.21
2014/9/25 9:58,1.09,0.252,3.18,0.212,242.83,0.26,282.43,0.34,236.4,0.297,273.48,0.38,0.19
2014/9/25 10:00,1.141,0.1,301.16,0.277,292.3,0.15,271.91,0.125,248.96,0.065,298.54,0.38,0.21
2014/9/25 10:02,1.199,0.128,306.42,0.253,316.28,0.111,310.27,0.138,267.51,0.243,246.49,0.49,0.21
2014/9/25 10:04,1.252,0.316,300.22,0.236,264.65,0.201,229.03,0.26,228.59,0.076,298.25,0.38,0.21
2014/9/25 10:06,1.301,0.098,330.83,0.267,294.84,0.053,353.54,0.238,250.12,0.202,278.53,0.49,0.25
2014/9/25 10:08,1.345,0.058,217.27,0.27,303.04,0.149,348.39,0.107,282.36,0.284,253.22,0.49,0.24
2014/9/25 10:10,1.394,0.199,312.76,0.246,319.78,0.152,192.94,0.249,238.8,0.087,286.76,0.49,0.22
2014/9/25 10:12,1.44,0.241,330.14,0.062,299.05,0.052,315.78,0.056,173.88,0.116,218.35,0.38,0.23
2014/9/25 10:14,1.481,0.135,300.17,0.306,312.35,0.139,322.31,0.114,258.89,0.129,263.76,0.38,0.22
2014/9/25 10:16,1.524,0.086,316.88,0.128,312.79,0.301,243.35,0.224,220.66,0.221,269.74,0.38,0.22
2014/9/25 10:18,1.572,0.287,309.35,0.042,325.56,0.088,285.14,0.176,298.45,0.038,27.9,0.38,0.21
2014/9/25 10:20,1.624,0.142,267.58,0.28,316.74,0.142,267.18,0.21,237.07,0.174,256.68,0.38,0.21
2014/9/25 10:22,1.66,0.279,264.02,0.167,209.79,0.222,185.43,0.146,312.78,0.131,339.5,0.3,0.18
2014/9/25 10:24,1.698,0.154,346.87,0.18,320.64,0.173,245.06,0.206,258.8,0.19,276.34,0.3,0.16
2014/9/25 10:26,1.739,0.098,137.49,0.098,271.17,0.149,244.98,0.17,285.02,0.221,273.9,0.3,0.17
2014/9/25 10:28,1.784,0.041,38,0.182,273.14,0.1,266.57,0.299,284.31,0.062,309.09,0.3,0.17
2014/9/25 10:30,1.824,0.167,304.26,0.261,192.86,0.232,255,0.232,284.76,0.222,248.63,0.3,0.15
2014/9/25 10:32,1.857,0.158,320.15,0.058,210.11,0.4,261.08,0.272,272.74,0.21,296.57,0.26,0.12
2014/9/25 10:34,1.888,0.181,252.27,0.113,187.63,0.235,324.01,0.029,84.09,0.141,353.88,0.27,0.13
2014/9/25 10:36,1.916,0.256,336.24,0.12,2.86,0.219,291.66,0.225,329.21,0.11,319.06,0.27,0.16
2014/9/25 10:38,1.954,0.101,184.53,0.061,246.8,0.162,274.62,0.179,334.15,0.156,254.71,0.3,0.15
2014/9/25 10:40,1.989,0.39,315.73,0.3,289.46,0.156,339.02,0.104,219.52,0.25,307.51,0.26,0.14
2014/9/25 10:42,2.018,0.231,314.12,0.162,227.75,0.15,344.95,0.154,245.1,0.278,326.6,0.26,0.15
2014/9/25 10:44,2.055,0.221,260.11,0.145,334.67,0.144,153.26,0.19,335.73,0.159,262.79,0.27,0.16
2014/9/25 10:46,2.089,0.113,247.73,0.266,279.07,0.147,276.25,0.209,264.78,0.205,299.57,0.26,0.17
2014/9/25 10:48,2.116,0.133,211.18,0.145,288.56,0.085,326.5,0.105,266.73,0.216,265.21,0.26,0.17
2014/9/25 10:50,2.144,0.156,299.2,0.186,272.77,0.133,304.29,0.166,286.04,0.292,311.67,0.26,0.16
2014/9/25 10:52,2.175,0.115,273.48,0.181,26.99,0.082,342.9,0.132,240.52,0.161,268.22,0.22,0.16
2014/9/25 10:54,2.201,0.221,326.45,0.181,276.65,0.088,296.27,0.101,337.25,0.138,0.42,0.22,0.15
