Time,SSC_surface(kg/m3)
2014/9/25 10:00,0
2014/9/25 11:00,0.147
2014/9/25 12:00,0.076
2014/9/25 13:00,0.106
2014/9/25 14:00,0.051
2014/9/25 15:00,0.053
2014/9/25 16:00,0.099
2014/9/25 17:00,0.127
2014/9/25 18:00,0.137
2014/9/25 19:00,nan
2014/9/26 11:00,0.21
2014/9/26 12:00,0.125
2014/9/26 13:00,0.081
2014/9/26 14:00,0.056
2014/9/26 15:00,0.059
2014/9/26 16:00,0.076
2014/9/26 17:00,0.096
2014/9/26 18:00,0.127
2014/9/26 19:00,nan
2014/9/27 11:00,0.158
2014/9/27 12:00,0.048
2014/9/27 13:00,0.038
2014/9/27 14:00,0.057
2014/9/27 15:00,0.084
2014/9/27 16:00,0.073
2014/9/27 17:00,0.088
2014/9/27 18:00,0.097
2014/9/27 19:00,nan
2014/9/28 12:00,0.034
2014/9/28 13:00,0.074
2014/9/28 14:00,0.095
2014/9/28 15:00,0.08
2014/9/28 16:00,0.082
2014/9/28 17:00,0.092
2014/9/28 18:00,0.093
2014/9/28 19:00,nan
2014/9/29 12:00,0.064
2014/9/29 13:00,0.069
2014/9/29 14:00,0.086
2014/9/29 15:00,0.055
2014/9/29 16:00,0.052
2014/9/29 17:00,0.176
2014/9/29 18:00,0.135
2014/9/29 19:00,nan
2014/9/30 06:00,0.123
